序号,项目编码,项目名称,项目特征及施工描述,人工费(元),材料费(元),机械费(元),管理费+利润(元),原预算合价(万元),下浮13%合价(万元),备注
1,010101001001,基础土方工程,"1.三类戈壁土含砾石卵石层 2.机械大开挖1:0.5放坡 3.基底300mm人工清底 4.遇超径卵石液压破碎 5.防尘网覆盖安全护栏",8.31,21.15,3.78,6.48,37.77,32.86,"综合挖方+装车+外运 工程量27.45万"
2,010401001001,砌筑工程,"1.加气混凝土砌块多孔砖 2.M5水泥砂浆砌筑 3.含构造柱圈梁过梁 4.钢丝网防裂 5.预拌砂浆机械喷涂",28.65,78.79,17.19,19.12,143.25,124.63,"含办公楼宿舍楼砌体 工程量96.70万"
3,010503001001,混凝土工程,"1.现浇框架柱梁板C30-C40 2.商品混凝土泵送 3.定型钢模板覆膜胶合板 4.盘扣式脚手架支撑 5.覆膜洒水养护≥7天 6.高温夜间浇筑+冰水拌合",173.56,407.50,67.92,105.65,754.63,656.53,"框架结构主体含大体积混凝土消防水池 工程量562.16万"
4,010515001001,钢筋工程,"1.HRB400E抗震钢筋Φ6-Φ32 2.直螺纹套筒机械连接为主 3.梁柱节点加密区抗震构造 4.保护层梁柱25mm板15mm 5.双层双向配筋",208.91,499.56,72.66,127.17,908.30,790.22,"全部钢筋制安含钢结构地脚螺栓预埋 工程量628.38万"
5,010902001001,屋面防水工程(主厂房),"1.压型钢板屋面 2.岩棉保温层 3.SBS改性沥青防水卷材3mm 4.有组织排水系统 5.细部附加层处理 6.蓄淋水试验",436.74,1455.79,242.63,440.85,2426.32,2110.90,"5#生产车间大屋面 工程量2141.21万"
6,010902001002,屋面防水工程(附属),"1.框架结构屋面 2.挤塑板保温层 3.SBS防水卷材 4.细石混凝土找坡 5.蓄淋水试验",436.69,1455.65,242.61,440.80,2426.08,2110.69,"3#办公楼4#宿舍楼等 工程量2140.97万"
7,011001001001,屋面保温工程,"1.挤塑聚苯板XPS保温 2.厚度按设计要求 3.粘结+锚栓固定 4.聚合物砂浆防护层 5.基层界面处理",118.26,387.62,72.27,78.83,656.98,571.57,"含7#厂房控制楼 工程量515.14万"
8,011201001001,装饰工程,"1.内墙无机涂料乳胶漆 2.外墙真石漆保温一体板 3.地面防滑地砖环氧自流平 4.吊顶矿棉板铝合金条板 5.卫生间防水+瓷砖 6.预拌砂浆机械喷涂",133.60,400.79,70.31,88.42,703.14,611.73,"含控制楼办公楼宿舍楼 工程量523.12万"
9,010801001001,门窗工程,"1.断桥铝合金窗65系列 2.中空玻璃5+12A+5 3.钢质防火门防盗门 4.工业厂房推拉门 5.密封胶打胶连续饱满 6.淋水试验",87.55,240.76,48.15,60.39,437.74,380.83,"全部门窗制安 工程量376.45万"
10,011401001001,油漆涂料工程,"1.钢结构防火涂料 2.金属面防锈漆+面漆 3.内墙无机涂料 4.基层清理+腻子找平 5.环保材料",11.04,29.43,4.73,7.35,52.55,45.72,"钢结构防火+防锈 工程量42.97万"
11,011503001001,零星工程及措施,"1.室外道路C30砼厚200mm 2.围墙砖砌+铁艺 3.电缆沟钢筋砼 4.脚手架模板等措施费 5.安全文明施工费",147.70,535.43,129.24,110.81,923.15,803.14,"室内外配套+措施项目 工程量545.68万"
,,,,,,,合计,9469.91,8238.82,"下浮金额¥1,231.09万"
