通衢隧道左洞出口坡面滑塌防护工程 - 劳务清包工报价单(不含主材)
编制:2026-05-29 | 有效期:30天 | 新疆偏远矿区上浮系数1.25

序号,编码,项目名称,项目描述,单位,工程量,人工费(元/单位),辅材费(元/单位),机械费(元/单位),综合单价,合价(元),施工方案备注
【一、抗滑桩工程】
1,1.1,挖孔土石方,桩孔直径1.5-2.5m，深度12-25m，土石方综合（含强风化岩层），人工挖孔+风镬破碎+卷扬机出渣,m³,3577.9,580,48,92,720,2576088.0,(1)测量放线定桩位→(2)锁口施工(C30砞)→(3)分段开挖(每段1m)→(4)护壁钢筋绑扎→(5)护壁模板支设→(6)护壁砞浇筑→(7)循环至设计深度→(8)终孔验收。土方人工开挖，石方风镬破碎或控制爆破，卷扬机吊桶出渣，孔内设通风管+低压照明+安全爬梯
2,1.2,护壁C30混凝土(模板+浇筑+养护),分段护壁每段高1m，上口壁厚20cm下口15cm，不含C30主材,m³,2628.0,295,38,25,358,940824.0,(1)钢筋绑扎完成→(2)支设定型钢模/木模→(3)C30砞浇筑→(4)振捣密实→(5)拆模养护≥7d→(6)每段强度≥70%方可下挖
3,1.3,护壁HRB400钢筋(制作+绑扎),护壁环向+纵向钢筋，井下分段绑扎，不含HRB400主材,t,183.96,1150,65,45,1260,231789.6,(1)加工场下料→(2)弯曲成型→(3)卷扬机吊运入孔→(4)井下定位绑扎→(5)焊接接头(单面焊10d)→(6)垫块安装→(7)监理验收
4,1.4,护壁HPB300钢筋(制作+绑扎),护壁箍筋+拉结筋，井下分段绑扎，不含HPB300主材,t,78.84,1150,60,45,1255,98944.2,同HRB400工艺，HPB300端部做180°弯钩
5,1.5,C30混凝土桩身(浇筑+振捣+养护),桩身大体积混凝土灌注，串筒下料分层振捣，不含C30主材,m³,3138.6,168,12,45,225,706185.0,(1)孔底清渣→(2)安装串筒(距砞面≤2m)→(3)分层下料(≤50cm)→(4)逐层振捣→(5)连续浇筑至桩顶→(6)养护≥14d→(7)大体积砞温控监测(内外温差≤25℃)
6,1.6,桩身HRB400钢筋(钢筋笼制安),受力主筋+分布筋，分段制笼孔内连接，不含HRB400主材,t,576.38,1250,68,55,1373,791369.74,(1)加工场下料成型→(2)分段制作钢筋笼(每段≤9m)→(3)吊装→(4)孔口焊接/套筒连接→(5)定位校正→(6)保护层垫块→(7)声测管预埋→(8)隐蔽验收
7,1.7,桩身HPB300钢筋(制作+安装),桩身箍筋+拉筋，含加工制作安装，不含HPB300主材,t,11.85,1250,62,55,1367,16198.95,同HRB400工艺，光圆端部180°弯钩，加密区按设计
8,1.8,钢护筒制作安装(Q235B d=10mm),孔口钢护筒，Q235B钢板卷制，含下料卷板焊接安装，不含钢板主材,t,21.52,850,85,55,990,21304.8,(1)下料→(2)卷板成型→(3)纵缝满焊→(4)吊装就位→(5)定位校正→(6)外侧回填夹实→(7)涂刷防锈漆
小计,,一、抗滑桩工程,,,,4433526.3,367711.94,581466.05,,5382704.29
