新疆城建（集团）股份有限公司工程事业部
2026年市政（老旧小区）工程劳务作业队劳务询价表																																	
单位：元																																	
序号	名称	单位	2026年指导价	询价	费用组成	工作内容	备注																										
一	土方工程																																
1	人工开挖土方	m3	50	50	除主材以外的所有费用	人工挖沟槽土方																											
2	人工清槽	m3	15	15	除主材以外的所有费用	人工配合机械挖沟槽、小型机具使用、洒水、打夯，人工配合修整等																											
3	土方回填人工配合捡石头	m3	0.5	0.5	除主材以外的所有费用	配合路基回填捡石头、测量等（如土方大包人工费含在机械费内,不单独结算）																											
4	人工回填打夯
（胸腔回填）	m3	15	15	除主材以外的所有费用	自备打夯机、洒水、分层打夯，人工配合修整等（管顶以上50cm以内胸腔土及机械碾压不到之处）																											
6	管沟回填
（管顶以上50cm以外）	m3	8	8	除回填料以外的所有费用	人工配合机械修整、分层回填打夯																											
二	道路工程																																
1	路床整形	m2	0.5	0.5	全部费用	路床整形配合测量，人工配合处理机械碾压不到之处																											
2	人工铺设土工格栅	m2	1	1	除主材以外的全部费用	原材卸车、保管、覆盖、倒运，清理整平路基、铺设、缝合及锚固																											
3	土工布	m²	0.5	0.5	除主材以外的全部费用	原材卸车、保管、覆盖、倒运，清理整平路基、铺设、缝合及锚固																											
4	土工膜	m2	0.5	0.5	除主材以外的全部费用	原材卸车、保管、覆盖、倒运，清理整平路基、铺设、缝合及锚固																											
5	平整路基（30cm天然砂砾）	m2	1.2	1.2	除主材以外的所有费用	配合路基回填捡石头、测量等(如土方大包人工费含在机械费内,不单独结算)。																											
6	20cm水泥稳定土基层（3000㎡以上新建道路）	m2	5	5	人工费+路面机械（不含水车、挖掘机、压路机）	人工配合摊铺机摊铺，（大包为：人工+机械=5元/m2）；养护由项目部提供水车，路面项目部提供人工。项目部提供水车、挖掘机、压路机。																											
7	20cm水泥稳定土基层（3000㎡及以下）	m2	9	9	人工费+路面机械（不含水车、挖掘机、压路机）	人工配合摊铺机摊铺，（大包为：人工+机械=9元/m2）；养护由项目部提供水车，路面项目部提供人工。项目部提供水车、挖掘机、压路机。																											
8	20cm水泥稳定土基层（老旧小区）新建小区零星	m2	6	6	人工费+路面机械（不含水车、挖掘机、压路机）	人工配合摊铺机摊铺，（大包为：人工+机械=6元/m2）；养护由项目部提供水车，路面项目部提供人工。项目部提供水车、挖掘机、压路机。																											
9	沥青混凝土（3000㎡以上新建道路）	m2	5	5	人工费+路面机械（不含水车、挖掘机）	人工配合摊铺机摊铺，（大包为：人工+机械=5元/m2）；养护由项目部提供水车，路面项目部提供人工。项目部提供水车、挖掘机。																											
10	沥青混凝土（3000㎡以下新建道路）老旧小区	m2	9	9	人工费+路面机械（不含水车、挖掘机）	人工配合摊铺机摊铺，（大包为：人工+机械=9元/m2）；养护由项目部提供水车，路面项目部提供人工。项目部提供水车、挖掘机。																											
11	水稳、油面清扫（3000㎡及以下）	m2	0.5	0.5	人工费+清扫车	摊铺水稳、油面前清扫路面，垃圾车由项目部提供，油面按实际发生计取，如未清扫不计算																											
12	沥青路面铣刨厚度2cm	m2	6	6	全部费用	按平方计算，含人工、清扫、清运等全部工作内容																											
13	沥青路面铣刨厚度3cm	m2	7	7	全部费用	按平方计算，含人工、清扫、清运等全部工作内容																											
14	沥青路面铣刨厚度4cm	m2	8	8	全部费用	按平方计算，含人工、清扫、清运等全部工作内容																											
